-1
-1
-1
-1
-1
-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,92,92,92,92,-1,-1,-1,-1,92,83,83,83,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,81,83,81,83,-1,-1,-1,-1,83,83,92,83,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,71,92,71,92,-1,-1,57,58,58,57,83,88,92,-1,-1,-1,-1,-1,-1,-1,83,83,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,92,83,83,92,-1,-1,98,72,88,57,83,88,83,-1,92,83,83,92,-1,-1,92,83,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,83,83,83,56,56,56,-1,-1,-1,-1,57,56,56,56,56,92,43,77,77,98,68,68,57,92,83,92,-1,83,69,69,92,-1,83,69,83,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,88,92,88,70,60,60,75,76,76,76,98,69,94,69,43,82,44,57,57,57,57,72,57,92,82,57,58,58,58,58,58,-1,92,69,83,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,57,58,58,58,57,92,55,88,80,88,99,82,82,82,98,69,95,69,45,82,44,83,81,84,81,94,57,82,92,98,88,70,70,88,60,92,56,56,56,56,56,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,56,56,56,56,-1,98,88,68,88,43,82,65,88,50,88,99,82,82,54,98,95,94,24,25,53,45,83,71,78,71,94,57,99,82,6,7,7,7,8,90,54,79,78,83,78,79,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,78,79,79,78,99,98,88,72,88,44,82,92,80,70,70,53,82,82,82,98,56,72,56,56,63,93,93,84,94,95,95,57,99,54,98,60,72,70,88,80,76,83,88,83,88,83,57,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,54,82,81,83,81,75,59,59,59,59,44,99,82,90,90,90,63,82,82,82,98,35,79,85,94,99,90,72,35,90,90,90,57,75,76,98,90,72,90,90,90,82,83,88,83,88,84,57,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,57,94
